Word,Phonetic,Frequency,Definition,Cloze Test,Chinese Definition,Unit
affluent,[ˈæfluənt],1 / 5,"1. If you are affluent , you have a lot of money. | 2. The affluent are people who are affluent.","If you are ___ , you have a lot of money.",富裕的 | 富人,Unit 1
architecture,[ˈɑːkɪtektʃə(r)],2 / 5,"1. Architecture is the art of planning, designing, and constructing buildings. | 2. The architecture of a building is the style in which it is designed and constructed.","___ is the art of planning, designing, and constructing buildings.",建筑艺术 | 建筑风格,Unit 1
border,[ˈbɔːdə(r)],4 / 5,"1. The border between two countries or regions is the dividing line between them. Sometimes the border also refers to the land close to this line. | 2. A country that borders another country, a sea, or a river is next to it. | 3. Border on means the same as .",The ___ between two countries or regions is the dividing line between them. Sometimes the ___ also refers to the land close to this line.,边界; 边界地区 | 与…接壤 | 与…接壤 | 饰边 | 小路或草地边) 狭长花坛 | 给…镶边,Unit 1
building,[ˈbɪldɪŋ],5 / 5,"1. A building is a structure that has a roof and walls, for example, a house or a factory.","A ___ is a structure that has a roof and walls, for example, a house or a factory.",建筑物,Unit 1
capital,[ˈkæpɪt(ə)l],5 / 5,"1. Capital is a large sum of money which you use to start a business, or which you invest in order to make more money. | 2. You can use capital to refer to buildings or machinery which are necessary to produce goods or to make companies more efficient, but which do not make money directly. | 3. Capital is the part of an amount of money borrowed or invested which does not include interest.","___ is a large sum of money which you use to start a business, or which you invest in order to make more money.","资本; 资金 | 资产 | 本金; 本钱 | 首都 | 某一产业或活动的) 有名之地; …之都 | 大写字母 | 柱顶 (Also called chapiter, cap) | 可处死刑的 | 利用",Unit 1
coast,[kəʊst],4 / 5,"1. The coast is an area of land that is next to the sea. | 2. If a vehicle coasts somewhere, it continues to move there with the motor switched off, or without being pushed or pedalled. (",The ___ is an area of land that is next to the sea.,海岸 | 车辆的) 惯性滑行,Unit 1
community,[kəˈmjuːnəti],5 / 5,"1. The community is all the people who live in a particular area or place. | 2. A particular community is a group of people who are similar in some way. | 3. Community is friendship between different people or groups, and a sense of having something in common.",The ___ is all the people who live in a particular area or place.,社区 | 团体 | 团体精神,Unit 1
council,[ˈkaʊns(ə)l],5 / 5,"1. A council is a group of people who are elected to govern a local area such as a city. | 2. Council is used in the names of some organizations. | 3. In some organizations, the council is the group of people that controls or governs it.",A ___ is a group of people who are elected to govern a local area such as a city.,政务委员会 | 委员会 | 管理委员会 | 会议,Unit 1
countryside,[ˈkʌntrisaɪd],3 / 5,1. The countryside is land which is away from towns and cities.,The ___ is land which is away from towns and cities.,乡村,Unit 1
explore,[ɪkˈsplɔː(r)],3 / 5,"1. If you explore , or explore a place, you travel around it to find out what it is like. | 2. exploration | 3. If you explore an idea or suggestion, you think about it or comment on it in detail, in order to assess it carefully.","If you ___ , or ___ a place, you travel around it to find out what it is like.",考察 | 考察 | 探讨 | 探讨 | 勘探 | 勘探 | 摸索,Unit 1
