Word,Phonetic,Frequency,Definition,Cloze Test,Chinese Definition,Unit
amateur,[ˈæmətə(r)],3 / 5,Amateur sports or activities are done by people as a hobby and not as a job.,______ sports or activities are done by people as a hobby and not as a job.,业余爱好者 | 业余的,Unit 3
annual,[ˈænjuəl],4 / 5,An annual event happens once every year.,An ______ event happens once every year.,每年一次的 | 每年一次地 | 年度的 | 年度地 | 年鉴; 年刊 | 一年生植物,Unit 3
arena,[əˈriːnə],2 / 5,"An arena is a large building with a big open area in the middle, used for sports events and other entertainments.","An ______ is a large building with a big open area in the middle, used for sports events and other entertainments.",竞技场 | 斗争场所,Unit 3
artificial,[ˌɑːtɪˈfɪʃ(ə)l],2 / 5,"Artificial things are made or produced by people, often as a copy of something natural.","______ things are made or produced by people, often as a copy of something natural.",人造的 (物体、材料、工艺等) | 人造地 | 人为的 (状态、状况) | 人为地,Unit 3
cap,[kæp],3 / 5,"A cap is a limit that is set on an amount or number, especially an official one.","A ______ is a limit that is set on an amount or number, especially an official one.",软扁帽; 便帽 | 制服帽 | 瓶盖 | 成为…的结尾,Unit 3
championship,[ˈtʃæmpiənʃɪp],4 / 5,A championship is a competition to find the best player or team in a particular sport or game.,A ______ is a competition to find the best player or team in a particular sport or game.,锦标赛 | 冠军称号,Unit 3
crack,[kræk],3 / 5,A crack is a line on the surface of something where it has split without breaking into separate parts.,A ______ is a line on the surface of something where it has split without breaking into separate parts.,使…破裂; 破裂 | 使…噼啪作响; 发出辟裂声 | 撞击 | 叩开 | 破解 (难题、密码) | 精神) 垮掉 | 嗓音) 突然变化 | 说 (笑话) | 裂缝 | 裂纹 | 缝隙 | 爆裂声 | 强效纯可卡因 | 训练有素的 | 挖苦人的) 笑话,Unit 3
crucial,[ˈkruːʃ(ə)l],3 / 5,Something that is crucial is extremely important or necessary.,Something that is ______ is extremely important or necessary.,至关重要的 | 至关重要地,Unit 3
curved,[kɜːvd],1 / 5,"Something that is curved has a smooth, rounded shape rather than straight sides.","Something that is ______ has a smooth, rounded shape rather than straight sides.",弧形的,Unit 3
digit,[ˈdɪdʒɪt],1 / 5,A digit is a finger or toe.,A ______ is a finger or toe.,到9的任一) 数字,Unit 3
engaging,[ɪnˈɡeɪdʒɪŋ],1 / 5,"If you describe someone or something as engaging, you mean that they are attractive and interesting.","If you describe someone or something as ______, you mean that they are attractive and interesting.",迷人的,Unit 3
essential,[ɪˈsenʃ(ə)l],4 / 5,Something that is essential is extremely important or absolutely necessary.,Something that is ______ is extremely important or absolutely necessary.,至关重要的 | 必需品 | 基本的; 重要的 | 要素; 要点,Unit 3
estimated,[ˈestɪmeɪtɪd],4 / 5,An estimated amount or number is one that people calculate or guess to be correct.,An ______ amount or number is one that people calculate or guess to be correct.,估计 | 估计的 | 估计 | 判断 | 估价,Unit 3
fake,[feɪk],N/A,"Something that is fake is not genuine, but is made to look or seem genuine in order to deceive people.","Something that is ______ is not genuine, but is made to look or seem genuine in order to deceive people.",adj. 伪造的，冒充的；（动作或感情）虚假的，做作的 | n. 假货，赝品；骗子，冒充者；假动作；（绳索、水龙带等的）一圈（=flake） | v. 伪造，冒充；假装，佯装；（尤指体育运动中）做假动作；不懂装懂，不会装会；盘卷（=flake） | 【名】 （Fake）（印）费克（人名）,Unit 3
fulfill,[fʊlˈfɪl],N/A,"If you fulfill a hope, wish, or aim, you achieve it or make it happen.","If you ______ a hope, wish, or aim, you achieve it or make it happen.",vt. 履行；实现；满足；使结束（等于 fulfil）,Unit 3
harness,[ˈhɑːnɪs],1 / 5,"A harness is a set of straps and fastenings used to control or hold in place a person, animal, or object.","A ______ is a set of straps and fastenings used to control or hold in place a person, animal, or object.",利用 | 背带; 安全带 | 马具; 挽具 | 给…套上挽具,Unit 3
identical,[aɪˈdentɪk(ə)l],2 / 5,"If two things are identical, they are exactly the same.","If two things are ______, they are exactly the same.",完全相同的 | 完全相同地,Unit 3
investigate,[ɪnˈvestɪɡeɪt],4 / 5,"If you investigate something, you examine it thoroughly in order to find out more about it.","If you ______ something, you examine it thoroughly in order to find out more about it.",调查 | 调查,Unit 3
literally,[ˈlɪtərəli],2 / 5,"You use literally to emphasize that what you are saying is true, even though it seems exaggerated or surprising.","You use ______ to emphasize that what you are saying is true, even though it seems exaggerated or surprising.",真地 | 确实地 | 字面上地,Unit 3
lucrative,[ˈluːkrətɪv],2 / 5,"A lucrative activity, job, or business deal produces a lot of money.","A ______ activity, job, or business deal produces a lot of money.",获利丰厚的,Unit 3
mellow,[ˈmeləʊ],1 / 5,"Someone or something that is mellow is calm, peaceful, and easygoing.","Someone or something that is ______ is calm, peaceful, and easygoing.",柔和的 | 声音) 柔美的; (味道) 香醇的 | 使变平和; 变平和 | 平和的,Unit 3
participant,[pɑːˈtɪsɪpənt],2 / 5,A participant is a person who takes part in an activity or event.,A ______ is a person who takes part in an activity or event.,参加者,Unit 3
perspective,[pəˈspektɪv],3 / 5,"A perspective is a particular way of thinking about something, especially one that is influenced by your beliefs or experiences.","A ______ is a particular way of thinking about something, especially one that is influenced by your beliefs or experiences.",思维方式; 看法 | 看待事物) 正确/不正确地,Unit 3
prestigious,[preˈstɪdʒəs],2 / 5,"If you describe something as prestigious, you mean that it is respected and admired.","If you describe something as ______, you mean that it is respected and admired.",有声望的,Unit 3
pro,[prəʊ],2 / 5,A pro is someone who plays a sport or does an activity as a job rather than for enjoyment.,A ______ is someone who plays a sport or does an activity as a job rather than for enjoyment.,专业人员 | 职业的 | 支持; 赞成 | 赞成的意见; 赞成的理由 | 利弊,Unit 3
quarterfinal,"[,kwɔ:tə'fainəl]",N/A,A quarterfinal is one of the four matches or contests that are played to decide which players or teams will take part in the semifinals.,A ______ is one of the four matches or contests that are played to decide which players or teams will take part in the semifinals.,adj. 四分之一决赛的 | n. 四分之一决赛,Unit 3
root for,N/A,N/A,"If you root for someone, you support or encourage them in a competitive situation.","If you ______ someone, you support or encourage them in a competitive situation.",支持；赞助；为……加油,Unit 3
scanner,[ˈskænə(r)],1 / 5,A scanner is a device that can read or copy images or text and convert them into digital data.,A ______ is a device that can read or copy images or text and convert them into digital data.,扫描设备 | 扫描仪,Unit 3
sequence,[ˈsiːkwəns],2 / 5,"A sequence is a set of events, actions, numbers, etc., which have a particular order and which lead to a particular result.","A ______ is a set of events, actions, numbers, etc., which have a particular order and which lead to a particular result.",一系列; 一连串 | 次序; 顺序,Unit 3
slippery,[ˈslɪpəri],1 / 5,"Something that is slippery is difficult to hold, walk on, or move on because it is smooth, wet, or oily.","Something that is ______ is difficult to hold, walk on, or move on because it is smooth, wet, or oily.",滑的; 湿滑的 | 狡猾的; 不可靠的 | 不断恶化的局势,Unit 3
soar,[sɔː(r)],2 / 5,"If an amount or level soars, it increases very quickly.","If an amount or level ______s, it increases very quickly.",急剧增加 | 高飞,Unit 3
sophisticated,[səˈfɪstɪkeɪtɪd],3 / 5,A sophisticated machine or system is very complex and works in a clever way.,A ______ machine or system is very complex and works in a clever way.,高级的; 复杂的 | 老练的; 久经世故的 | 干练的,Unit 3
stability,[stəˈbɪləti],N/A,"Stability is the quality of being stable, or not likely to change or fail.","______ is the quality of being stable, or not likely to change or fail.",n. 稳定（性），稳固（性）；坚定，恒心,Unit 3
stringent,[ˈstrɪndʒənt],1 / 5,"Stringent rules, laws, or conditions are very strict and must be obeyed.","______ rules, laws, or conditions are very strict and must be obeyed.",法律、规定或条件) 严格的,Unit 3
substance,[ˈsʌbstəns],3 / 5,"A substance is a particular type of solid, liquid, or gas.","A ______ is a particular type of solid, liquid, or gas.",物质 | 实质 | 要旨 | 正确性,Unit 3
subtropical,[ˌsʌbˈtrɒpɪk(ə)l],N/A,"Subtropical regions have a climate that is warm for most of the year, but not as hot as tropical regions.","______ regions have a climate that is warm for most of the year, but not as hot as tropical regions.",亚热带的,Unit 3
unsustainable,[ˌʌnsəˈsteɪnəbl],N/A,Something that is unsustainable cannot continue at the same rate or level.,Something that is ______ cannot continue at the same rate or level.,adj. 无法持续的；（生态）破坏生态平衡的，不可持续的；不能支持的，不能主张的,Unit 3
varied,[ˈveərid],2 / 5,"If something is varied, it consists of many different things or has many different aspects.","If something is ______, it consists of many different things or has many different aspects.",各种各样的,Unit 3
violation,[ˌvaɪəˈleɪʃ(ə)n],N/A,"A violation of a law, rule, or agreement is an action that breaks it.","A ______ of a law, rule, or agreement is an action that breaks it.","n. （对法律、协议、原则等的）违背，违反；侵权行为，（对人权的）侵犯；
（对某物的）损毁，（对圣地的）亵渎；强奸",Unit 3
workout,[ˈwɜːkaʊt],1 / 5,A workout is a period of physical exercise or training.,A ______ is a period of physical exercise or training.,体育锻炼; 体育训练,Unit 3
synonym,[ˈsɪnənɪm],N/A,1. N-COUNT A synonym is a word or expression which means the same as another word or expression.,N-COUNT A ___ is a word or expression which means the same as another word or expression.,同义词,Unit 4
mainstream,[ˈmeɪnstriːm],2 / 5,"1. N-COUNT People, activities, or ideas that are part of the mainstream are regarded as the most typical, normal, and conventional because they belong to the same group or system as most others of their kind.","N-COUNT People, activities, or ideas that are part of the ___ are regarded as the most typical, normal, and conventional because they belong to the same group or system as most others of their kind.",主流,Unit 4
alternative,[ɔːlˈtɜːnətɪv],4 / 5,"1. N-COUNT If one thing is an alternative to another, the first can be found, used, or done instead of the second. | 2. ADJ An alternative plan or offer is different from the one that you already have, and can be done or used instead. | 3. ADJ Alternative is used to describe something that is different from the usual things of its kind, or the usual ways of doing something, in modern Western society. For example, an alternative lifestyle does not follow conventional ways of living and working.","N-COUNT If one thing is an ___ to another, the first can be found, used, or done instead of the second.",替代品 | 另外的 [ADJ n] | 另类的 [ADJ n] | 替代性的 (疗法) [ADJ n] | 可再生的 (能源) [ADJ n],Unit 4
